region,prov,municity,percent_cnt,percent_amt,target_cnt_4p,target_cnt_n4p,total_cnt_target,actual_cnt_4p,actual_cnt_n4p,total_cnt_actual,target_amt_4p,target_amt_n4p,total_amt_target,actual_amt_4p,actual_amt_n4p,total_amt_actual,actual_amt_lgu_n4p
BARMM,LANAO DEL SUR,AMAI MANABILANG (BUMBARAN),0.9464023495,0.95197152,935,427,1362,862,427,1289,3412750,2135000,5547750,3146300,2135000,5281300,2135000
II,NUEVA VIZCAYA,AMBAGUIO,0.7390364422,0.724318019,682,2556,3238,682,1711,2393,2830300,14058000,16888300,2822000,9410500,12232500,14058000
VII,NEGROS ORIENTAL,AMLAN (AYUQUITAN),0.9983839109,0.9986980321,941,4628,5569,932,4628,5560,4375650,27768000,32143650,4333800,27768000,32101800,27768000
BARMM,MAGUINDANAO,AMPATUAN,0.9550748752,0.9565366041,2956,650,3606,2808,636,3444,10789400,3250000,14039400,10249200,3180000,13429200,3250000
II,CAGAYAN,AMULUNG,0.9992248062,0.997808921,1714,7316,9030,1707,7316,9023,7113100,40238000,47351100,7009350,40238000,47247350,40238000
VIII,SOUTHERN LEYTE,ANAHAWAN,0.9851708575,0.9844488687,331,1220,1551,330,1198,1528,1208150,6100000,7308150,1204500,5990000,7194500,6100000
III,TARLAC,ANAO,0.9903614458,0.9904956527,385,1690,2075,380,1675,2055,1982750,10985000,12967750,1957000,10887500,12844500,10887500
I,PANGASINAN,ANDA,0.9993345755,0.9994568504,2314,5200,7514,2309,5200,7509,9603100,28600000,38203100,9582350,28600000,38182350,28600000
VII,BOHOL,ANDA,0.9990141308,0.9991883613,793,2250,3043,790,2250,3040,3687450,13500000,17187450,3673500,13500000,17173500,13500000
II,ISABELA,ANGADANAN,0.9992874109,0.9967973198,1669,6751,8420,1663,6751,8414,6926350,37130500,44056850,6785250,37130500,43915750,37130500
III,BULACAN,ANGAT,0.980141844,0.9812577434,1363,7097,8460,1292,7000,8292,7019450,46130500,53149950,6653800,45500000,52153800,45500000
IV-A,RIZAL,ANGONO,0.9999267775,0.999940274,1884,11773,13657,1883,11773,13656,9702600,76524500,86227100,9697450,76524500,86221950,76524500
VI,ILOILO,ANILAO,0.9998278237,0.9995729184,1625,4183,5808,1624,4183,5807,7565550,25098000,32663550,7551600,25098000,32649600,25098000
VI,ANTIQUE,ANINI-Y,0.9986379733,0.9995486313,1043,2628,3671,1038,2628,3666,4836000,15768000,20604000,4826700,15768000,20594700,15768000
VII,BOHOL,ANTEQUERA,0.9996268657,0.9997011616,385,2295,2680,384,2295,2679,1790250,13770000,15560250,1785600,13770000,15555600,13770000
XII,COTABATO (NORTH COTABATO),ANTIPAS,0.9962476548,0.9970726054,1269,4061,5330,1249,4061,5310,4631850,20305000,24936850,4558850,20305000,24863850,20305000
III,PAMPANGA,APALIT,0.9905347178,0.9911846003,3029,11128,14157,2958,11065,14023,15599350,72332000,87931350,15233700,71922500,87156200,71922500
II,CAGAYAN,APARRI,0.9999175326,0.9998054187,2007,10119,12126,2006,10119,12125,8329050,55654500,63983550,8316600,55654500,63971100,55654500
IV-B,PALAWAN,ARACELI,1,1,1306,1317,2623,1306,1317,2623,4766900,6585000,11351900,4766900,6585000,11351900,6585000
